Prof_Course, The instructor clearly defined and explained the course objectives and expectations, The instructor was prepared for each instructional activity, The instructor communicated information effectively, The instructor encouraged me to take an active role in my own learning, The instructor was available to students either electronically or in person
Ferreira-Susan-IE-5304-001/002/003-ADVANCED ENGR ECONOMY,4.1875,4.2812,4.1875,3.9062,4.2813
Ferreira-Susan-IE-5351-001-INTRO TO SYSTEMS ENGINEERING,4.25,4.25,4,4.25,4
Fields-Noelle-SOCW-6318-001-DIRECT PRACTICE WITH AGING,4.6154,4.6154,4.6154,4.6154,4.6154
Fields-Rhonda-LARC-5324-001-LAND ARCH & ENV ART SEMINAR,4.8,4.4,4.6,4.8,4.6
Figueroa-Norma-INTD-3553-001-DESIGN STUDIO INTR DESIGN I,3.6667,3.8333,3.5,4.1667,3.5
Figueroa-Norma-INTD-4345-001-ARCHITECTURAL GRAPHICS,3,3.4286,2.7143,3.4286,2.8571
Finch-Janet-SOCW-3303-004/005-SW POL & SERV,4.5,4.6667,4.6667,4.7273,4.75
Finch-Janet-SOCW-3303-006/007-SW POL & SERV,4.5,4.5,4.2,4.3,4.5
Finch-Janet-SOCW-6305-004/005-INTEGRATIVE SEMINAR,4.1,4.3,4.3,4.4,4.8889
Finch-Janet-SOCW-6305-012-INTEGRATIVE SEMINAR,4.5385,4.6923,4.6154,4.6154,4.7692
Finch-Janet-SOCW-6370-001-TREATING PARNT-CHILD RELATIONS,4.8095,4.8095,4.8571,4.8571,4.8571
Finch-Janet-SOCW-6370-002-TREATING PARNT-CHILD RELATIONS,4.5625,4.6,4.3125,4.5,4.5625
Fitzgerald-Colleen-LING-4301-001-PHONOLOGICAL THEORY I,4.2857,4.7143,4.4286,4.8571,4.7143
Flake-Jason-CRCJ-3340-002-CRIMINAL JUSTICE STATISTICS,4.55,4.45,4.5,4.5,4.5
Flanagan-Judith-NURS-3561-001-NURSING OF ADULTS,4.5,4.3214,4.3571,4.5357,4.5
Flanagan-Judith-NURS-3561-002-NURSING OF ADULTS,4.4444,4.5556,4.4444,4.5556,4.5556
Florentin-Bryan-ART-2359-001-INTRODUCTION TO PHOTOGRAPHY,5,5,5,5,5
Florentin-Bryan-ART-3391-001-HISTORY OF PHOTOGRAPHY,4.5714,4.8571,4.8571,4.7143,4.7143
Floyd-Kristopher-MARK-3322-003-PROFESSIONAL SELLING,4.5625,4.5625,4.5625,4.6875,4.6875
Floyd-Kristopher-MARK-4325-002-INTERNATIONAL MARKETING,4.5455,4.8182,4.6818,4.5909,4.7727
Foglia-Dorothy-NURS-5340-400-MANAGEMENT SEMINAR & PRACTICE,4.7273,4.6364,4.2727,4.7273,4.4
Folsom-Bradley-HIST-1311-001-U.S. HISTORY TO 1865,4.2609,4.4348,4.3111,4.2609,4.2826
Folsom-Bradley-HIST-3323-001-THE NEW NATION,4.5714,4.6429,4.7143,4.5,4.8571
Folsom-Bradley-MAS-3363-001 & HIST-3363-002-TEXAS TO 1850,4.5333,4.6,4.2667,4.2667,4.3333
Fondon-John-BIOL-3315-003-GENETICS,3.9583,4.1667,3.9167,4.1667,3.9167
Fondon-John-BIOL-4388-001-INSTR TECHNIQUES IN BIOLOGY,4.3333,4.3333,4,3.6667,3.3333
Fonteneau-Estelle-ART-3315-001-IMPRESSIONISM,4.2143,3.9286,3.9286,4.2857,4.7143
Fonteneau-Estelle-ART-3331-001-BRITISH ART,3.875,3.5,3.5,4,4.25
Forbes-Cathy-MUSIC PRIVATE LESSONS,5,5,5,5,5
Foss-Frank-CHEM-2321-003-ORGANIC CHEMISTRY,4.1,4.25,3.8,4.25,4.225
Foster-Chelsea-KINE-3315-003-PHYSIOLOGY OF EXERCISE,4.6667,4.4444,4.4444,4.5556,4
Foster-Chelsea-KINE-3315-004-PHYSIOLOGY OF EXERCISE,4,4.2,4.2,3.8,3.6
Foster-Chelsea-KINE-3315-005-PHYSIOLOGY OF EXERCISE,4.6667,4.3333,4.3333,4.3333,4
Foster-Chelsea-KINE-3325-001-UNDERGRADUATE RESEARCH METHODS,3.75,4.0833,4.1667,3.9167,3.8333
Foster-Cheryl-SOCW-2311-004-INTRO SOC WORK,4.4286,4.8571,4.7143,4.7857,4.6429
Fowler-Barbi-ENGL-1301-068-RHETORIC AND COMPOSITION I,4.0833,4,4.0833,3.9167,4.3333
Fowler-Barbi-ENGL-1301-083-RHETORIC AND COMPOSITION I,4.5,4.1667,4.3333,4.6667,4.6667
Fowler-Barbi-ENGL-2303-003-TOPICS IN LIT,3.5,3.0833,3.4167,3,2.9167
Fox-Jennifer-MAVS-1000-007-First Year Experience,4.5,4.5,4.5714,4.125,4.25
Foxsmith-Timothy-SPAN-2313-011-INTERMEDIATE SPANISH I,4.2,4.4,4.4,4.4,4.6
Foxsmith-Timothy-SPAN-2314-002-INTERMEDIATE SPANISH II,5,5,4.5,5,5
Foxsmith-Timothy-SPAN-2314-004-INTERMEDIATE SPANISH II,4.8,4.8,4.8,4.8,4.4
Foxsmith-Timothy-SPAN-2314-008-INTERMEDIATE SPANISH II,3.5556,3.6667,3.5556,3.4444,3.5556
Frailey-Dennis-CSE-5320-002-SPEC TOPS SOFTWARE ENGR,4.6,4.7333,4.8,4.6,4.6
Francesco-Beth-MAVS-1000-065-First Year Experience,4,4.25,4.25,4,4
Frank-Laura-SOCW-5301-011/012-HUMAN BEHAV & SOCIAL ENV I,3.5,3.25,3,3.75,2.75
Frank-Luanne-ENGL-2329-011-AMERICAN LITERATURE,2.8,4.2,2.8,4.4,4
Franks-Charles-COMM-4318-001-MEDIA SALES AND PROMOTION,4.6471,4.7647,4.7059,4.7059,4.7059
Fraser-Yolanda-SOCW-6336-002-DIR PRACTICE IN MENTAL HEALTH,4.3636,4.7273,4.4545,4.5455,4.7273
Frazier-Sylvester-ENGL-1301-039-RHETORIC AND COMPOSITION I,4.2,4.2,3.8,3.75,4.1
Frazier-Sylvester-ENGL-1301-040-RHETORIC AND COMPOSITION I,4.5,4.3333,4.1667,4.6667,4.6667
Frederick-Lee-BIOL-1441-003-CELL MOL BIOL,4.9375,5,4.75,4.75,4.75
Frederick-Lee-BIOL-1441-004-CELL MOL BIOL,4.6444,4.6667,4.6444,4.6444,4.6667
Frederick-Lee-BIOL-1441-042-CELL MOL BIOL,4.403,4.4776,4.2388,4.303,4.3788
Frederick-Lee-BIOL-2457-500-HUMAN ANATOMY & PHYSIOLOGY I,4.7222,4.6471,4.6667,4.6667,4.5
Frederick-Lee-BIOL-2457-501-HUMAN ANATOMY & PHYSIOLOGY I,4.8667,4.8571,4.8667,4.7333,4.8
Frederick-Lee-BIOL-2457-700-HUMAN ANATOMY & PHYSIOLOGY I,4.8182,4.6364,4.7273,4.8,4.6
Frederick-Lee-BIOL-2457-701-HUMAN ANATOMY & PHYSIOLOGY I,4.8182,4.8182,4.6364,4.8182,4.7273
Frederick-Lee-BIOL-2458-500-HUMAN ANATOMY & PHYSIOLOGY II,4.5333,4.5333,4.5333,4.4,4.4667
Frederick-Lee-BIOL-2458-501-HUMAN ANATOMY & PHYSIOLOGY II,4.5,4.4375,4.4375,4.4375,4.3125
Frederick-Lee-BIOL-2458-700-HUMAN ANATOMY & PHYSIOLOGY II,4.4074,4.3333,4.2963,4.4444,4.2308
Frederick-Lee-BIOL-2458-701-HUMAN ANATOMY & PHYSIOLOGY II,4.5238,4.4762,4.4286,4.5238,4.4286
Freeman-Ericka-MAVS-1000-075-First Year Experience,4.9167,4.8333,4.9167,4.7273,5
Freeman-Ericka-SOCW-3302-002-HUM BEHAV II,5,5,5,5,5
Freeman-Ericka-SOCW-3304-004-SW PRACTIC II,4.7333,4.7333,4.6,4.6,4.7143
Freeman-Ericka-SOCW-3317-004/005-HUMAN BEHAVIOR AND DIVERSE POP,4.7333,4.7333,4.6,4.5333,4.6667
Freeman-Ericka-SOCW-4252-003-SW FIELD II SEM & SOCW-4452-003-SW FIELD INSTRUC II,4,4.0833,4,4.1667,4.1667
Freling-Traci-MARK-5330-040-SERVICES MARKETING MANAGEMENT,4.625,4.25,4.25,4.5,4.75
Frost-Heather-CE-4354-001 & CE-5358-001 / 002-SOLID & HAZARDOUS WASTE MGMT,4,4.6667,4.6667,4.3333,4.6667
Frye-Linda-FS-NURS-1300-016-INTRO TO PROFESSIONAL NURSING,4.5556,5,4.5556,4.5556,4.5
Fuchs-Chadwick-MAVS-1000-088-First Year Experience,4.4,4.4667,4.5333,4.6667,4.6667
Fuchs-Perry-HEED-3303-001 / PSYC-3303-001 / BIOL-3303-001-DRUGS AND BEHAVIOR,4.4878,4.4878,4.4024,4.2195,4.2561
Fuchs-Perry-PSYC-1315-700-INTRO TO PSYCHOLOGY,4.5455,4.7273,4.7273,4.5455,4.5455
Fuchs-Perry-PSYC-1315-701-INTRO TO PSYCHOLOGY,4.6154,4.6154,4.6154,4.6154,4.4167
Fuess-Lauren-BIOL-2458-004-HUMAN ANATOMY & PHYSIOLOGY II,3.4,3.6,3.4,3.6,4.2
Fuess-Lauren-BIOL-2458-012-HUMAN ANATOMY & PHYSIOLOGY II,3.6667,3.5556,3.2222,3.6667,3.8889
Fujita-Matthew-BIOL-3317-001 & BIOL-5335-001-ESSENTIALS OF GENOMICS,4.5833,4.6667,4.4167,4.25,4.5455
Fujita-Matthew-BIOL-4388-004-INSTR TECHNIQUES IN BIOLOGY,5,5,5,5,5
Funkhouser-Collin-BIOL-2458-003-HUMAN ANATOMY & PHYSIOLOGY II,4.625,4.75,4.75,4.75,4.625
Funkhouser-Collin-BIOL-2458-007-HUMAN ANATOMY & PHYSIOLOGY II,4.75,4.75,4.75,4.75,4.75
Furr-Deana-NURS-3365-072-PHARMACOLOGY IN NURSING PRACTI,4.2857,4.0714,4.2143,4.2143,4.2143
Furr-Deana-NURS-3425-201-RN-BSN HOL HLTH ASSESS LIFESPA,4.3333,4.3333,4.3333,4.3333,4.3333
Furr-Deana-NURS-4441-600-NURSING: CHILDBEARING FAMILY,4.7,4.7,4.6,4.675,4.575
Furr-Deana-NURS-UL-3365-600-PHARMACOLOGY IN NURSING PRACTI,4.4545,4.3636,4.3182,4.2273,4.3182
Gabas-Antonio-ARCH-5670-001-ADVANCED DESIGN STUDIO,2,2.8889,1.7778,2,3.5556
Gabel-Todd-ECON-2306-003-PRINCIPLES OF MICROECONOMICS,3.7059,4,3.7647,3.9412,4.2941
Gabel-Todd-ECON-2306-005-PRINCIPLES OF MICROECONOMICS,3.6923,4.0769,3.6923,3.6154,4.1538
Gabel-Todd-ECON-2306-009-PRINCIPLES OF MICROECONOMICS,4.4,4.6,4.2083,4.32,4.36
Gabel-Todd-ECON-3335-001-ECONOMICS OF PUBLIC POLICIES,4.3,4.45,4.4,4.55,4.55
Gagne-Jeffrey-PSYC-3318-001-ABNORMAL PSYCHOLOGY,4.5068,4.5205,4.5342,4.3014,4.5479
Gainer-Cheryl-FS-NURS-1300-012-INTRO TO PROFESSIONAL NURSING,4.4444,4.4444,4.3333,4.2778,4.3889
Gale-Nathan-ENGL-1301-038-RHETORIC AND COMPOSITION I,4.6364,4.6364,4.5455,4.4545,4.6364
Gale-Nathan-ENGL-1301-057-RHETORIC AND COMPOSITION I,4.7143,4.8571,4.7143,4.5714,4.8333
Gale-Nathan-ENGL-1301-067-RHETORIC AND COMPOSITION I,4.7143,4.4286,4.7143,4.4286,4.4286
Gale-Nathan-ENGL-2309-013-WORLD LIT,4.7692,4.8462,4.7692,4.4615,4.6923
Galloway-Diane-EDML-4350-001-MIDDLE SCHOOL CURRICULUM,3.4444,4.1111,3.1111,4.5556,3.8889
Galloway-Diane-EDML-4676-001-MIDDLE LEVEL FIELD-BASED EXPER,4.2,3.8,3.8,4.6,4.2
Gandy-Kellen-PSYC-1315-003-INTRO TO PSYCHOLOGY,4,4.1667,4.1667,4,4.1667
Gann-Gretchen-BIOL-1441-048-CELL MOL BIOL,3.9348,4.2391,3.7609,3.7609,4.2174
Gann-Gretchen-BIOL-1441-049-CELL MOL BIOL,4.1364,4.4545,3.5909,3.9091,4.3636
Gao-Jean-CSE-2315-002-DISCRETE STRUCTURES,4.3158,4.3158,3.8947,3.8947,4.0526
Gao-Jean-CSE-2315-003-DISCRETE STRUCTURES,3.8333,4,3.6667,3.5833,3.5833
Garcia-Deborah-EXSA-0189-001-INTERCOLLEGIATE ATHLETICS,4.4667,4.4667,4.4667,4.4667,4.4667
Garcia-Emmanuel-SPAN-1441-007-BEGINNING SPANISH I,4.3333,4.4444,4.4444,4.4444,4.3333
Garcia-Emmanuel-SPAN-1441-018-BEGINNING SPANISH I,4.1429,4.2857,4.2857,4.1429,4.2857
Garcia-Emmanuel-SPAN-1442-007-BEGINNING SPANISH II,4.6667,4,4.6667,4.3333,4.6667
Garcia-Laura-ART-1307-002-DRAWING FUNDAMENTALS,4.2,4.8,4.8,5,4.6
Garg-Anil-CE-5308-002/003 & CE-4360-002-DESIGN OF STRUCTURAL MASONRY,2.7778,2.7778,2.2222,3.1111,3.8889
Garner-Angela-SPAN-2314-009-INTERMEDIATE SPANISH II,4.25,4.25,4,4,4.25
Garner-Angela-SPAN-2314-010-INTERMEDIATE SPANISH II,4.8333,5,5,5,4.8333
Garner-Douglas-EXSA-0159-001-EXERCISE/SPORT FOR HANDICAPPED,5,5,5,5,5
Garner-Rebecca-KINE-1315-003-TEACHING PHYSICAL EDUCTION,4,4,4,4,4
Garner-Rebecca-KINE-4330-001-PROGRAM DESIGN & ADMN,4.1071,4.4286,4.3214,4.6071,4.6786
Garner-Rebecca-KINE-4647-001-ALL-LEVEL TEACHER PREPARATION STUDENT TEACHING FOR PHYSICAL EDUCATION,5,5,5,5,5
Garner-Tyler-EXSA-1247-001-EXERCISE & WEIGHT MANAGEMENT,4.3333,4.2778,3.9444,4.4444,4.0556
Garner-Tyler-KINE-4331-001-OBESITY & WEIGHT MANAGEMENT,3.8261,3.7826,3.7391,4.3182,4.3913
Garrett-Bryan-HIST-2301-001-HISTORY OF CIVILIZATION,4.625,4.625,4.375,4.625,4.625
Garrigus-John-HIST-4366-002/003-LATIN AMER HIST,4,3.9,3.8,4.625,4
Garrigus-John-HIST-5311-001-PRE-1800 EURO/LTN AM/AFRI HIST,4.5714,4.8571,4.7143,5,4.5714
Gatchel-Robert-PSYC-5110-001-PROFESSIONAL DEVELOPMENT I,4.6667,4.3333,4.3333,4.3333,4.6667
Gaupp-Andrew-THEA-3341-001-ACTING IV: ADV ACT & PORTFOLIO,4,4,4,4,4
Gaupp-Natalie-THEA-1342-001-THEATRE & FILM APPRECIATION,4.75,4.7,4.7179,4.425,4.4
Gaupp-Natalie-THEA-3320-001-PLAYWRITING I,5,5,5,4.6667,5
Gaupp-Natalie-THEA-4393-001-SPECIAL TOPICS,4.5,4.3333,4.3333,4.3333,4.3333
Gay-Wayne-ENGL-2303-010-TOPICS IN LIT,4.6,4.45,4.55,4.35,4.55
Gay-Wayne-ENGL-2329-004-AMERICAN LITERATURE,4.6316,4.6842,4.6842,4.6842,4.6316
Gay-Wayne-ENGL-2329-008-AMERICAN LITERATURE,4.8182,4.7727,4.7727,4.6364,4.6818
George-Beverly-MANA-2302-002-COMMUNICATIONS IN ORGANIZATION,3.2667,3.5333,2.7333,3.9333,3.8
George-Beverly-MANA-2302-004-COMMUNICATIONS IN ORGANIZATION,3.6316,3.7368,3.4737,3.7895,3.6842
George-Beverly-MANA-3318-004-MANA ORG BEHAV,4.2564,4.4103,4.1538,4.4103,4.5641
George-Beverly-MANA-3318-007-MANA ORG BEHAV,3.7273,3.8182,3.8182,3.9091,3.8182
George-Miranda-MUSIC PRIVATE LESSONS,5,5,4.8,4.8,4.6
Georgiou-Danielle-DNCA-0139-001-DANCE PERFORMANCE,4.5,4.5,4.75,4.75,4.75
Ghandehari-Mostafa-CE-2312-001-STATICS/DYNAMICS NON-CE MAJORS,4.6818,4.8182,4.7619,4.1364,4.8182
Ghandehari-Mostafa-CE-2312-002-STATICS/DYNAMICS NON-CE MAJORS,4.45,4.5,4.2,4.15,4.45
Ghandehari-Mostafa-CE-3301-001-STOCHASTIC MODELS FOR CE,4.6842,4.6842,4.4737,4.5263,4.6842
Ghandehari-Mostafa-MATH-3315-001-MATHEMATICAL MODELS,4.8667,4.9333,4.9333,4.6,4.8667
Ghimire-Manoj-GEOL-1301-011-EARTH SYSTEMS,3.9,4.3,4,4.2,4.2
Ghimire-Manoj-GEOL-1301-146-EARTH SYSTEMS,2.8889,3.2222,2.2222,3.4444,3.6667
Giammanco-Gina-KINE-2330-001 & HEED-2330-001-CARE/PREV ATHLETIC INJURIES,4.2,4.3,4.3,4.3,4.4
Giampietro-Francis-ART-4392-007-SPECIAL STUDIES,5,4.5,4.75,4.75,4.75
Gibbs-Ralph-EE-3310-001-DIGITAL LOGIC/MICROPROCESSOR 2,4.5,4,4.5,4.5,4.25
Gibbs-Ralph-EE-3310-101-DIGITAL LOGIC/MICROPROCESSOR 2,4.5,3.5,4.5,4.5,4
Gibbs-Ralph-EE-3310-102-DIGITAL LOGIC/MICROPROCESSOR 2,4,4,4,4,4
Gillis-Michael-BIOL-3446-002-HUMAN ANATOMY,2.4,2.5,2.2,2.5,4.1
Gillis-Michael-BIOL-3446-003-HUMAN ANATOMY,2.625,2.375,2.375,3.25,3.625
Ginsberg-Justin-ART-4342-001-ADVANCED GLASS,4.5714,4.7143,4.5714,4.5714,4.5714
Gintole-George-ARCH-2551-008-BASIC DESIGN AND DRAWING I,3,3,2.6667,3.6667,3
Gintole-George-ARCH-4311-002 ARCH-4315-002 & ARCH-5311-002-ARCHITECTURAL THEORY,5,5,5,5,4.3333
Gladen-Randall-PHYS-1444-009-GENERAL TECHNICAL PHYSICS II,4.4667,4.0667,4.5333,4.5333,4.4667
Glass-Jeremy-MATH-1301-006-CONTEMPORARY MATH,4.8182,4.7273,4.6364,4.2727,4.5
Glass-Jeremy-MATH-1302-300-COLLEGE ALGEBRA,3.8421,4.0263,4.0263,3.8421,4.0526
Glass-Jeremy-MATH-1302-301-COLLEGE ALGEBRA,4,4,3.9062,3.8438,4.0313
Glass-Jeremy-MATH-1302-400-COLLEGE ALGEBRA,4.0333,4.1667,4.0333,3.9667,4.2667
Glass-Jeremy-MATH-1302-401-COLLEGE ALGEBRA,4.0455,4.2273,3.9545,3.9091,4.1818
Glass-Jeremy-MATH-1426-300-CALCULUS I,4.4286,4.3929,4.4643,4.2857,4.2143
Glenn-Melissa-LIST-5385-001-DESIGNING LITERACY RESEARCH,4,4.25,4,4.25,4
Glenn-Melissa-LIST-5385-005-DESIGNING LITERACY RESEARCH,4.5385,4.6923,4.6923,4.7692,4.7692
Glenn-Melissa-LIST-5385-105-DESIGNING LITERACY RESEARCH,4.1111,4.4118,4,4.4118,4.5294
Godeken-Sonja-MATH-0302-999-FUNDAMENTALS OF ALGEBRA,4,4,3.8125,4.1875,4.1875
Godeken-Sonja-MATH-1301-001-CONTEMPORARY MATH,4.8,4.84,4.88,4.72,4.84
Godeken-Sonja-MATH-1301-002-CONTEMPORARY MATH,4.7308,4.7692,4.7692,4.7308,4.7692
Godeken-Sonja-MATH-1302-200-COLLEGE ALGEBRA,3.8108,4,3.7838,3.8378,4.0541
Godeken-Sonja-MATH-1302-201-COLLEGE ALGEBRA,4.0645,4.0968,4.1667,4.0645,4.2258
Goerdel-Bethany-SCIE-1102-002-STEP 2: INQUIRY LESSON DESIGN,4.7143,4.5714,4.4286,4.5714,4.8571
Goldberg-Joyce-HIST-1311-012-U.S. HISTORY TO 1865,4.2222,4.5833,4.3056,4.1667,4.3611
Goldberg-Joyce-HIST-1311-014-U.S. HISTORY TO 1865,4.25,4.625,4.375,4.25,4.4167
Goldberg-Joyce-HIST-3348-001-US DIPLO TO1913,3.6667,3.6667,3.6667,4,3.6667
Gomez-Ricardo-CRCJ-3337-002-ADV CRIM PROC,4.6842,4.7368,4.6842,4.5789,4.4737
Gonzalez-Alejandro-ARCH-3553-005-DESIGN STUDIO: ARCHITECTURE I,5,5,5,5,5
Gonzalez-Alejandro-ARCH-5342-001-ARCHITECTURAL GRAPHICS I,4.375,4.75,4.5,4.625,4.375
Gonzalez-John-NURS-5315-400-ADVANCED PATHOPHYSIOLOGY,4.8333,4.4667,4.5667,4.8333,4.8
Goodson-Amy-HEED-3301-001-SPORTS NUTRITION,4.4375,4.5,4.4375,4.1563,3.9375
Goodson-Amy-KINE-5345-001-SPORT NUTRITION,5,4.6667,5,5,4.6667
Goodwin-Nathaniel-HIST-1311-701-HIST-1311-902-U.S. HISTORY TO 1865,3.9714,3.9855,3.75,4,3.913
Goral-Pawel-HIST-1311-002-U.S. HISTORY TO 1865,4.1884,4.2754,4.1014,3.8841,4.1159
Goral-Pawel-HIST-1312-002-U.S. HISTORY SINCE 1865,4.2222,4.5333,4.2444,3.8889,4.0682
Goral-Pawel-HIST-1312-003-U.S. HISTORY SINCE 1865,4.5,4.6667,4.7143,4.5366,4.4762
Goral-Pawel-HIST-2302-001-HIST OF CIVILIZATION,4.6,4.5,3.9,4.7,4.5
Goral-Pawel-HIST-2302-003-HIST OF CIVILIZATION,4.6,4.4,4.75,4.6,4.6
Gordon-Patsy-JOUR-1345-001-WRITING FOR MASS MEDIA,3.8,3.2,2.8,3.8,4.2
Gordon-Patsy-JOUR-1345-013-WRITING FOR MASS MEDIA,4,3.6,3.4,3.6,4.2
Gornet-Ruth-MATH-4303-001-INTRODUCTION TO TOPOLOGY & MATH-5304-001-GENERAL TOPOLOGY,5,4,4.8333,4.6667,5
Gornet-Ruth-MATH-4334-001-ADV MULTIVARIABLE CALCULUS,4.5714,4.2857,4.2857,4.4286,4.8571
Gough-Laura-BIOL-5101-002-SPECIAL TOPICS IN BIOLOGY,4.6667,4.6667,4.6667,4.6667,4.6667
Govindarajan-Sriram-PSYC-2443-004-RESEARCH DESIGN & STATISTICS I,4.2222,4.5556,3.8889,4.4444,4.6667
Govindaraju-Aruna-BIOL-1441-007-CELL MOL BIOL,3.5,4.1667,3.8333,3.3333,4
Govindaraju-Aruna-BIOL-1441-027-CELL MOL BIOL,3.375,3.5,2.875,3.25,3.5
Grantcharov-Dimitar-MATH-3321-001-ABSTRACT ALGEBRA I,4.5789,4.8947,4.4737,4.4737,4.6842
Grantcharov-Dimitar-MATH-5333-001-LINEAR ALGEBRA AND MATRICES,4.8,4.7,4.7,4.4,4.5
Gray-David-MANA-5312-001-MANAGEMENT,4.4375,4.75,4.625,4.4375,4.375
Gray-David-MANA-5312-020-MANAGEMENT,4.3333,4.3333,3.5,4.1667,4
Green-Michelle-BIOL-2458-011-HUMAN ANATOMY & PHYSIOLOGY II,4.5714,4.5714,4.5714,4.4286,4.5714
Green-Michelle-BIOL-3427-002-PLANT SCIENCE,4.8,4.7,4.7,4.7,4.6
Green-Michelle-BIOL-3427-004-PLANT SCIENCE,4.8,4.8,5,4.6,4.75
Greenawalt-Julia-NURS-5360-401-SIMULATION APPS IN NURSING ED,1.8,2.2,1.4,4.6,4.2
Greene-Michael-PHYS-1442-005-GENERAL COLLEGE PHYSICS II,4.6,4.8,4.6,4.4,4.4
Greene-Richard-CIRP-5341-001-ENVR REGS: LAWS AND PLANNING,4.6,5,4.8,4.6,5
Greene-Richard-URPA-1301-001-INTRO URB LIFE,4.1429,4.2857,3.4286,4.1429,4
Greer-Julienne-FS-THEA-1300-001-FIRST YEAR SEM IN THEATRE ARTS,4.5385,4.6923,4.5385,4.7692,4.8462
Greer-Julienne-THEA-0181-001-THEATRE PRACTICUM,4.8889,4.4444,4.3333,4.6667,4.4444
Greer-Julienne-THEA-0181-003-THEATRE PRACTICUM,4.8571,4.8571,4.8571,4.4286,4.4286
Greer-Julienne-THEA-3308-001-ACTING III: FOR THE CAMERA,5,5,5,5,4.8
Griffis-John-MATH-1323-100-PRECALCULUS II,3.5455,4,3.3636,3.8182,4
Griffis-John-MATH-1426-501-CALCULUS I,3.8462,3.6154,3.6923,3.4615,3.3846
Griffith-Cynthia-CHEM-1345-101-CHEMISTRY AROUND US,4.2222,3.4444,4,4.4444,4.1111
Griffith-Cynthia-CHEM-1345-102-CHEMISTRY AROUND US,4.4286,4.5714,4.4286,4.5714,4.5714
Griffith-Elizabeth-GEOL-4308-001 & GEOL-5301-001-ENVIRONMENTAL GEOCHEMISTRY and EVSE-5310-001-ENVR SYSTEMS CHEMICAL ASPECTS,3.0714,3.5385,3,3.8571,3.7857
Griffith-William-GEOL-3443-001-STRUCTURAL GEOLOGY,5,5,5,4.7143,4.8571
Griffith-William-GEOL-3443-011-STRUCTURAL GEOLOGY,4.3333,5,5,4.3333,5
Griffith-William-GEOL-3443-012-STRUCTURAL GEOLOGY,4.5,4.5,4.5,5,4
Griffitts-Courtney-FREN-1441-001-BEGINNING FRENCH I,4.625,4.625,4.625,4.75,4.7143
Griffitts-Courtney-FREN-1441-004-BEGINNING FRENCH I,4.3333,4.3333,4.4444,4.5556,4.4444
Griffitts-Courtney-FREN-1441-008-BEGINNING FRENCH I,4,4.25,4,4.5,4
Griffitts-Courtney-FREN-2313-001-INTERMEDIATE FRENCH I,5,4.8,4.6,4.6,4.8
Griffitts-Courtney-FREN-2313-004-INTERMEDIATE FRENCH I,4,3,3.5,3.5,3.5
Grisaffe-Douglas-MARK-5327-001-RES MARKETING DECISIONS,4.75,5,4.625,4.625,4.875
Grisaffe-Douglas-MARK-5344-001-ADVANCED RESEARCH ANALYSIS II,4,4,4,4,4
Grogan-David-MUSIC PRIVATE LESSONS,5,5,5,5,5
Grover-James-BIOL-5333-001-BIOLOGICAL MODELING,4.75,5,4.8333,4.8333,4.9167
Guarneri-White-Maria-PSYC-3310-001-DEVELOPMENTAL PSYCHOLOGY,4.7547,4.4808,4.7885,4.6538,4.7059
Gudlavalleti-Hema Manogna-BIOL-1441-029-CELL MOL BIOL,3,2.6667,2.6667,2.8333,3.6667
Gudlavalleti-Hema Manogna-BIOL-1441-039-CELL MOL BIOL,3.7143,4,3.7143,3.4286,3.5714
Gunn-William-UNIV-1131-101-ISSUES IN COLLEGE ADJUSTMENT,4.6,4.6,4.6,4.2,4.4
Gunn-William-UNIV-1131-103-ISSUES IN COLLEGE ADJUSTMENT,4.5714,4.5714,4.5714,4.5714,4.5714
Gunn-William-UNIV-1131-104-ISSUES IN COLLEGE ADJUSTMENT,4.2,4.6,4.8,4.4,4.4
Gunn-William-UNIV-1131-105-ISSUES IN COLLEGE ADJUSTMENT,4.8333,4.8333,4.75,4.5833,4.8333
Gunn-William-UNIV-1131-106-ISSUES IN COLLEGE ADJUSTMENT,4.4,4.2,4.4,4.2,4.4
Gunn-William-UNIV-1131-107-ISSUES IN COLLEGE ADJUSTMENT,4.8,4.9,4.7,4.6667,4.8
Gunn-William-UNIV-1131-108-ISSUES IN COLLEGE ADJUSTMENT,4.5385,4.5385,4.6923,4.5385,4.6154
Gunn-William-UNIV-1131-110-ISSUES IN COLLEGE ADJUSTMENT,4.7143,4.7143,4.7143,4.7143,4.7143
Gunn-William-UNIV-1131-111-ISSUES IN COLLEGE ADJUSTMENT,3.6,3.5,3.4,3.7,3.7
Gunn-William-UNIV-1131-112-ISSUES IN COLLEGE ADJUSTMENT,4.5,4.3333,4.1667,4.3333,4.6667
Gunn-William-UNIV-1131-113-ISSUES IN COLLEGE ADJUSTMENT,4.2,4.2,4.3,4,4.4
Gunn-William-UNIV-1131-114-ISSUES IN COLLEGE ADJUSTMENT,4.875,4.75,4.75,4.125,4.75
Gunn-William-UNIV-1131-115-ISSUES IN COLLEGE ADJUSTMENT,3.9,3.8,3.9,3.8,4
Gunn-William-UNIV-1131-116-ISSUES IN COLLEGE ADJUSTMENT,4.1667,4,4.5,4.5,4.3333
Gunn-William-UNIV-1131-117-ISSUES IN COLLEGE ADJUSTMENT,4.4,4.3333,4.5333,4.4667,4.5333
